,2,3,4,5,6,7,8,9,T,A
PA,1,1,1,1,1,1,1,1,1,1
PT,0,0,0,0,0,0,0,0,0,0
P9,0,0,0,0,0,0,0,0,0,0
P8,0,0,0,0,0,1,1,1,1,1
P7,0,0,0,0,0,1,1,1,1,1
P6,1,1,0,0,0,1,1,1,1,1
P5,1,1,1,1,1,1,1,1,1,1
P4,1,1,1,1,1,1,1,1,1,1
P3,1,1,1,1,1,1,1,1,1,1
P2,1,1,1,1,1,1,1,1,1,1
S21,0,0,0,0,0,0,0,0,0,0
S20,0,0,0,0,0,0,0,0,0,0
S19,0,0,0,0,0,0,0,0,0,0
S18,0,0,0,0,0,0,0,1,1,1
S17,1,1,1,1,1,1,1,1,1,1
S16,1,1,1,1,1,1,1,1,1,1
S15,1,1,1,1,1,1,1,1,1,1
S14,1,1,1,1,1,1,1,1,1,1
S13,1,1,1,1,1,1,1,1,1,1
H21,0,0,0,0,0,0,0,0,0,0
H20,0,0,0,0,0,0,0,0,0,0
H19,0,0,0,0,0,0,0,0,0,0
H18,0,0,0,0,0,0,0,0,0,0
H17,0,0,0,0,0,0,0,0,0,0
H16,0,0,0,0,0,1,1,1,1,1
H15,0,0,0,0,0,1,1,1,1,1
H14,0,0,0,0,0,1,1,1,1,1
H13,0,0,0,0,0,1,1,1,1,1
H12,1,1,0,0,0,1,1,1,1,1
H11,1,1,1,1,1,1,1,1,1,1
H10,1,1,1,1,1,1,1,1,1,1
H9,1,1,1,1,1,1,1,1,1,1
H8,1,1,1,1,1,1,1,1,1,1
H7,1,1,1,1,1,1,1,1,1,1
H6,1,1,1,1,1,1,1,1,1,1
H5,1,1,1,1,1,1,1,1,1,1